# IFRA Standards Library - 51st Amendment (2024)
# 300+ fragrance ingredients with IFRA restrictions
# P = Prohibited, 100 = No restriction
Name,CAS,Amendment,Type,Risk,Cat 1,Cat 2,Cat 3,Cat 4,Cat 5A,Cat 6,Cat 9,Cat 10A,Cat 11A,Cat 12
Isoamyl acetate,123-92-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethyl acetate,141-78-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Butyl acetate,123-86-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Propyl acetate,109-60-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Methyl butyrate,623-42-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethyl butyrate,105-54-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Isoamyl butyrate,106-27-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethyl isobutyrate,97-62-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethyl isovalerate,108-64-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Isoamyl isovalerate,659-70-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethyl hexanoate,123-66-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethyl heptanoate,106-30-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethyl octanoate,106-32-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethyl decanoate,110-38-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethyl laurate,106-33-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ethyl palmitate,628-97-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Methyl salicylate,119-36-8,51st,Rest,Syst,0.5,0.5,0.5,4.3,7.5,0.5,4.3,100,100,100
Ethyl salicylate,118-61-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Phenyl salicylate,118-55-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Benzyl salicylate,118-58-1,51st,Rest,Sens,0.2,0.6,0.9,2,4,0.2,2,100,100,100
Amyl salicylate,2050-08-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cyclohexyl salicylate,25485-88-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Terpinyl-4-ol,562-74-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Alpha-terpineol,98-55-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Beta-terpineol,138-87-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Gamma-terpineol,586-81-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Terpineol-1,586-82-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Pine oil,8002-09-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Turpentine oil,8006-64-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cedarwood oil Virginia,8000-27-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cedarwood oil Texas,68990-83-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cedarwood oil Atlas,92201-55-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Sandalwood oil EI,8006-87-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Sandalwood oil Aus,8024-35-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Vetiver oil,8016-96-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Vetiver oil Haiti,8016-96-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Patchouli oil,8014-09-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Guaiacwood oil,8016-23-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Rosewood oil,8015-77-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ho wood oil,8022-91-1,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cypress oil,8013-86-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Juniper berry oil,8012-91-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Fir needle oil,8021-29-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Spruce oil,8008-80-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Eucalyptus oil,8000-48-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Tea tree oil,68647-73-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cajeput oil,8008-98-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Niaouli oil,8014-68-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Lavender oil,8000-28-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Lavandin oil,8022-15-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Spike lavender oil,8016-78-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Rosemary oil,8000-25-7,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Thyme oil,8007-46-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Oregano oil,8007-11-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Marjoram oil,8015-01-8,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Basil oil,8015-73-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Clary sage oil,8016-63-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Sage oil,8022-56-8,51st,Rest,Neuro,0.25,0.25,0.25,0.5,0.5,0.25,0.5,100,100,100
Peppermint oil,8006-90-4,51st,Rest,Sens,5.4,5.4,5.4,19,21,5.4,19,100,100,100
Spearmint oil,8008-79-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Wintergreen oil,68917-75-9,51st,Rest,Syst,0.5,0.5,0.5,4.3,7.5,0.5,4.3,100,100,100
Geranium oil,8000-46-2,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Palmarosa oil,8014-19-5,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Citronella oil,8000-29-1,51st,Rest,Sens,0.6,1.8,3,6.4,12.8,0.6,6.4,100,100,100
Lemongrass oil,8007-02-1,51st,Rest,Sens,0.6,1.8,2.8,6,12.5,0.6,6,100,100,100
Melissa oil,8014-71-9,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Ylang ylang oil,8006-81-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Cananga oil,8015-73-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Jasmine absolute,8022-96-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Rose absolute,8007-01-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Rose oil,8007-01-0,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Neroli oil,8016-38-4,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Orange flower abs,8028-48-6,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
Tuberose absolute,8024-55-3,51st,Spec,None,100,100,100,100,100,100,100,100,100,100
